** Local boards to RPCs **

+----+-----------------------------------------------------------------------------------------------+
| rp | { assoc local boards }                                                                        |
+----+-----------------------------------------------------------------------------------------------+
| 00 | { 026, 027, 028, 029, 048, 049, 050, 051, 068, 069, 084, 085, 100, 101, 113 }                 |
| 01 | { 009, 010, 011, 030, 031, 032, 033, 052, 053, 054, 055, 070, 071, 086, 087, 102, 103, 114 }  |
| 02 | { 012, 013, 034, 035, 056, 057, 072, 073, 088, 089, 104, 105, 115 }                           |
| 03 | { 014, 015, 036, 037, 058, 059, 074, 075, 090, 091, 106, 107, 116 }                           |
| 04 | { 016, 038, 060, 076, 092, 108, 117 }                                                         |
| 05 | { 234, 225, 209, 193, 177, 155, 133 }                                                         |
| 06 | { 233, 223, 224, 207, 208, 191, 192, 175, 176, 153, 154, 131, 132 }                           |
| 07 | { 232, 221, 222, 205, 206, 189, 190, 173, 174, 151, 152, 129, 130 }                           |
| 08 | { 231, 219, 220, 203, 204, 187, 188, 169, 170, 171, 172, 147, 148, 149, 150, 126, 127, 128 }  |
| 09 | { 230, 217, 218, 201, 202, 185, 186, 165, 166, 167, 168, 143, 144, 145, 146 }                 |
| 10 | { 229, 215, 216, 199, 200, 183, 184, 161, 162, 163, 164, 139, 140, 141, 142, 123, 124, 125 }  |
| 11 | { 228, 213, 214, 197, 198, 181, 182, 159, 160, 137, 138, 121, 122 }                           |
| 12 | { 227, 211, 212, 195, 196, 179, 180, 157, 158, 135, 136, 119, 120 }                           |
| 13 | { 226, 210, 194, 178, 156, 134, 118 }                                                         |
| 14 | { 001, 017, 039, 061, 077, 093, 109 }                                                         |
| 15 | { 002, 003, 018, 019, 040, 041, 062, 063, 078, 079, 094, 095, 110 }                           |
| 16 | { 004, 005, 020, 021, 042, 043, 064, 065, 080, 081, 096, 097, 111 }                           |
| 17 | { 006, 007, 008, 022, 023, 024, 025, 044, 045, 046, 047, 066, 067, 082, 083, 098, 099, 112 }  |
+----+-----------------------------------------------------------------------------------------------+
